Data Lançamento;Documento;Conta Movimento;Operação;Valor Lançamento;Nr Cheque;Empresa;Plano de Contas;Histórico Movimento;Complemento Descrição
03/11/2025;49294;6 - BRADESCO;Entrada;700.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;TRANSF CC PARA CC PJ USIFIX INDUSTRIA E COMERCIO LT
03/11/2025;1037148;6 - BRADESCO;Entrada;618,14;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;TRANSFERENCIA PIX REM: L CHEK - MOVEIS SOB M 03/11
04/11/2025;;6 - BRADESCO;Entrada;0,60;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;REM: L CHEK - MOVEIS SOB M 03/11 RENTAB.INVEST FACILCRED* 8984796 0,09 702.982,77
04/11/2025;;6 - BRADESCO;Entrada;0,09;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;04/11/2025 RENTAB.INVEST FACILCRED* 6605424 0,60 702.982,68 PAGTO ELETRON COBRANCA
04/11/2025;168;6 - BRADESCO;Saída;7.416,02;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
04/11/2025;169;6 - BRADESCO;Saída;477,36;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;PAGTO ELETRON COBRANCA PAG COBRANCA NET EMPRESA
04/11/2025;5749146;6 - BRADESCO;Saída;31.465,35;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSF CC PARA CC PJ MARCOS ROBERTO MELO DO COUTO
04/11/2025;1242441;6 - BRADESCO;Saída;24.235,06;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: DANILO MASSARIN 04/11
04/11/2025;1242456;6 - BRADESCO;Saída;95.766,57;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: GERSON ANTONIO LABRES 04/11
04/11/2025;1242474;6 - BRADESCO;Saída;113.373,49;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: LUIZ FERNANDO MACHADO 04/11
04/11/2025;1242483;6 - BRADESCO;Saída;15.748,86;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: Taiane Barboza de Oli 04/11
04/11/2025;1242499;6 - BRADESCO;Saída;36.339,82;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: THIAGO JOSE PIANOWSKI 04/11
04/11/2025;1242520;6 - BRADESCO;Saída;31.825,86;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;2 - FINANCEIRO;TRANSFERENCIA PIX DES: LUIS PAULO DE OLIVEIR 04/11
