Data Lancamento;Documento;Conta Movimento;Operacao;Valor Lancamento;Nr Cheque;Empresa;Plano de Contas;Historico Movimento;Complemento Descricao
10/11/2025;CRED;1 - UNICREDI;Entrada;10,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
11/11/2025;CRED;1 - UNICREDI;Entrada;200,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
12/11/2025;CRED;1 - UNICREDI;Entrada;2,20;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
13/11/2025;CRED;1 - UNICREDI;Entrada;10,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
13/11/2025;CRED;1 - UNICREDI;Entrada;776,72;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
14/11/2025;CRED;1 - UNICREDI;Entrada;3,30;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
14/11/2025;CRED;1 - UNICREDI;Entrada;622,93;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
14/11/2025;CRED;1 - UNICREDI;Entrada;5.000,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
14/11/2025;CRED;1 - UNICREDI;Entrada;2.500,00;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
14/11/2025;CRED;1 - UNICREDI;Entrada;7.374,41;;1 - MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;95 - 1.1.06 - NAO IDENTIFICADO;1 - RECEBIMENTO;-
