Data Lançamento;Documento;Conta Movimento;Operação;Valor Lançamento;Nr Cheque;Empresa;Plano de Contas;Histórico Movimento;Complemento Descrição
03/11/2025;TAR;4 - ITAU;Saída;3618,99;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;JUROS EXCESSO LIM CONTA
03/11/2025;CRED;4 - ITAU;Entrada;1367,26;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;BOLETO RECEBIDO 03/11S
03/11/2025;TAR;4 - ITAU;Saída;52549,75;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;JUROS LIMITE DA CONTA
03/11/2025;TAR;4 - ITAU;Saída;7,34;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
03/11/2025;CRED;4 - ITAU;Entrada;1280,25;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;PIX RECEBIDO CAROLIN03/11 - CAROLINA BABY MOVEIS INFANTIS IND. E COM. LTDA
04/11/2025;TAR;4 - ITAU;Saída;1154,98;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;IOF 0616.60021-9/    C/C
04/11/2025;TAR;4 - ITAU;Saída;18,35;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;TAR/CUSTAS COBRANCA
04/11/2025;TAR;4 - ITAU;Saída;1326,2;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;36;2 - FINANCEIRO;IOF
04/11/2025;CRED;4 - ITAU;Entrada;844,95;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;BOLETO RECEBIDO 04/11S
05/11/2025;CRED;4 - ITAU;Entrada;2175,26;;MACLINEA MAQUINAS E EQUIPAMENTOS LTDA;3;2 - FINANCEIRO;BOLETO RECEBIDO 05/11S
